network,state 1,state 2,state 3,state 4,state 5,state 6,state 7,state 8,state 9,state 10
vDMN,0.200660259,-0.125204505,0.028822412,0.421647883,0.363881641,-0.248564244,-0.214970298,-0.258528267,-0.009664359,-0.098762585
dDMN,0.510032606,-0.507832847,0.035856738,0.03912631,0.549588515,-0.164708609,-0.64962609,-0.300255649,0.601729526,-0.172361657
Precuneus,-0.032025712,-0.198072996,0.051256014,0.0782922,0.363244381,0.025440364,-0.077775028,-0.109838152,-0.012529648,-0.090819388
post_Salience,0.021735981,0.542421253,0.08213969,-0.018978176,0.18703498,0.165202806,-0.112281768,-0.20302926,-0.674515415,-0.106253834
Salience,-0.314616773,0.144453965,0.080837941,-0.085662287,-0.154088488,0.092353842,0.359788746,0.142199302,-0.267423957,-0.160273603
Basal_Ganglia,-0.229170186,-0.013590553,0.051975243,0.032488354,-0.055096057,0.057596722,0.183674386,0.126684508,-0.056325278,-0.208027441
LECN,-0.062942548,-0.346913146,0.054636272,-0.138422948,0.104183241,0.604044189,0.018440877,-0.148446856,0.087328535,-0.197321255
RECN,-0.506829186,-0.247090526,0.06318052,-0.200282545,0.09788363,0.84417846,0.16152868,0.07021288,-0.048645746,-0.228652731
Visuospatial,-0.571296566,0.188116702,0.058124096,0.177880975,-0.330327802,0.084174776,0.624984872,0.289227463,-0.449309885,-0.08639074
high_Visual,-0.663006948,-0.176662663,-0.00049375,0.23700272,0.986598871,-0.280396628,-0.482795983,0.63139303,-0.033080244,-0.017350007
prim_Visual,0.005085612,-0.040011706,0.010565311,0.278666797,0.166117144,-0.22101422,-0.08719044,0.060300713,-0.109245254,0.033195255
Motor,0.089824666,0.03707873,0.033628394,0.005251454,0.192959308,-0.160907776,-0.18102864,-0.01158978,-0.027916562,-0.029237867
Auditory,0.294098648,0.313221073,0.052256951,-0.081006297,0.239784929,-0.129828008,-0.340551961,-0.234552685,-0.186679049,-0.081414278
Language,-0.001390301,-0.228885546,0.059081667,-0.061169629,0.29515325,0.32178558,-0.252578307,-0.032439965,0.056504246,-0.186309388
